CAMPAÑA|ID_FINCA|ID_ZONA|ID_ESTACION|ALTITUD|VARIEDAD|MODO|TIPO|COLOR|SUPERFICIE|PRODUCCION
14|76953|515|4|660|26|2|0|1|0.0|22215.0
14|84318|515|4|660|26|2|0|1|0.0|22215.0
14|85579|340|4|520|32|2|0|1|0.0|20978.0
14|69671|340|4|520|32|2|0|1|0.0|40722.0
14|14001|852|14||81|1|0|1|0.0|14126.0
14|17059|852|14||81|1|0|1|0.0|6054.0
14|87611|602|14||81|1|0|1|0.0|12900.0
14|12257|215|14||17|1|0|1|0.0|5450.0
14|97286|142|14||17|1|0|1|0.0|30720.0
14|43323|142|14||59|1|0|1|0.0|34880.0
14|43323|142|14||81|1|0|1|0.0|12650.0
14|23258|142|14||81|1|0|1|0.0|975.0
14|5696|919|14|650-660|59|1|0|1|0.0|21907.6
14|98814|919|14|650-660|32|2|0|1|0.0|31496.5
14|98814|919|14|650-660|40|2|0|1|0.0|16990.0
14|4024|919|14|650-660|32|2|0|1|0.0|54893.9
14|4024|919|14|650-660|87|2|0|0|0.0|13440.0
14|4024|919|14|650-660|17|2|0|1|0.0|33878.0
14|4024|919|14|650-660|52|2|0|1|0.0|34170.0
14|4024|919|14|650-660|59|2|0|1|0.0|13731.2
14|4024|919|14|650-660|81|2|0|1|0.0|42580.0
14|73332|919|3|650-660|32|2|0|1|0.0|3599.6
14|48410|919|14|650-660|68|1|0|0|0.0|7760.0
14|48410|919|14|650-660|59|1|0|1|0.0|2380.0
14|39664|919|14|650-660|68|1|0|0|0.0|7040.0
14|39664|919|14|650-660|59|1|0|1|0.0|1940.0
14|39664|919|14|650-660|59|2|0|1|0.0|3165.0
14|41325|919|14|650-660|68|1|0|0|0.0|8330.0
14|41325|919|14|650-660|17|1|0|1|0.0|4769.0
14|41325|919|14|650-660|59|1|0|1|0.0|4540.0
14|3010|919|14|650-660|68|1|0|0|0.0|7750.0
14|3010|919|14|650-660|59|1|0|1|0.0|7100.0
14|50946|919|14|650-660|68|1|0|0|0.0|15650.0
14|50946|919|14|650-660|59|1|0|1|0.0|2880.0
14|38795|464|14|650-660|40|2|0|1|0.0|28.0
14|43705|464|14|650-660|17|2|0|1|0.0|8280.0
14|93182|464|14|650-660|40|2|0|1|0.0|5.6
14|97677|464|14|650-660|87|1|0|0|0.0|2360.0
14|24404|464|14|650-660|32|2|0|1|0.0|9363.6
14|70378|464|14|650-660|9|2|0|0|0.0|980.0
14|1592|464|3|650-660|32|2|0|1|0.0|1907.4
14|20943|464|3|650-660|32|2|0|1|0.0|1040.4
14|10999|464|3|650-660|32|2|0|1|0.0|346.8
14|23983|464|3|650-660|32|2|0|1|0.0|520.2
14|71061|464|3|650-660|32|2|0|1|0.0|1213.8
14|39360|464|3|650-660|32|2|0|1|0.0|1734.0
14|86582|464|14|650-660|17|1|0|1|0.0|90640.0
14|86582|464|14|650-660|59|1|0|1|0.0|14324.2
14|83472|464|14|650-660|17|1|0|1|0.0|38930.0
14|83472|464|14|650-660|59|1|0|1|0.0|80920.0
14|77984|464|14|650-660|17|2|0|1|0.0|3127.2
14|77984|464|14|650-660|59|2|0|1|0.0|1471.2
14|13054|464|14|650-660|17|2|0|1|0.0|6254.4
14|13054|464|14|650-660|59|2|0|1|0.0|4658.8
14|13802|464|3|650-660|32|2|0|1|0.0|173.4
14|1142|464|14|650-660|59|1|0|1|0.0|2106.5
14|16692|464|14|650-660|17|2|0|1|0.0|2606.0
14|16692|464|14|650-660|59|2|0|1|0.0|1471.2
14|78846|464|14|650-660|17|2|0|1|0.0|3127.2
14|78846|464|14|650-660|59|2|0|1|0.0|1716.4
14|59317|464|14|650-660|17|2|0|1|0.0|3127.2
14|59317|464|14|650-660|59|2|0|1|0.0|1471.2
14|10133|464|14|650-660|17|1|0|1|0.0|588.8
14|75065|464|14|650-660|59|1|0|1|0.0|3791.7
14|18976|464|14|650-660|32|2|0|1|0.0|1040.4
14|25825|464|14|650-660|17|1|0|1|0.0|2905.328
14|92531|464|14|650-660|59|1|0|1|0.0|1940.0
14|92531|464|14|650-660|59|2|0|1|0.0|3165.0
14|80506|464|14|650-660|40|2|0|1|0.0|28.0
14|92099|464|14|650-660|40|2|0|1|0.0|8.4
14|95478|464|14|650-660|17|1|0|1|0.0|331.2
14|33751|464|14|650-660|17|1|0|1|0.0|7781.0
14|68025|464|14|650-660|17|1|0|1|0.0|4380.0
14|26816|464|14|650-660|59|2|0|1|0.0|1690.0
14|70951|464|14|650-660|17|1|0|1|0.0|4480.0
14|42732|82|14||17|1|0|1|0.0|19320.0
14|86971|411|8|690|81|1|0|1|0.0|8775.0
14|36535|186|8|695|17|1|0|1|0.0|3360.0
14|36535|186|8|695|59|1|0|1|0.0|900.0
14|75318|165|8|700|59|1|0|1|0.0|11120.0
14|18632|165|8|700|52|2|0|1|0.0|16050.0
14|16613|165|8|700|17|1|0|1|0.0|11534.672
14|13439|428|14|730|32|2|0|1|0.0|754.0
14|10316|592|17|820|59|1|0|1|0.0|4936.4
14|98808|592|17|820|59|1|0|1|0.0|6543.6
14|19515|973|2|500|32|2|0|1|0.0|18980.5
14|35465|964|2|500|32|2|0|1|0.0|13557.5
14|37826|964|2|500|32|2|0|1|0.0|16811.3
14|37826|964|2|500|17|2|0|1|0.0|50080.0
14|49672|828|2|500|32|2|0|1|0.0|4880.7
14|59146|734|11|530|59|1|0|1|0.0|2700.0
14|55814|44|7|620-640|17|1|0|1|0.0|20640.0
14|55814|44|7|620-640|81|1|0|1|0.0|17000.0
14|55814|44|7|620-640|32|2|0|1|0.0|27560.0
14|55814|44|7|620-640|40|2|0|1|0.0|23400.0
14|55814|44|7|620-640|17|2|0|1|0.0|6910.0
14|55814|44|7|620-640|81|2|0|1|0.0|6460.0
14|6321|44|7|620-640|59|1|0|1|0.0|2629.1
14|18939|44|7|620-640|59|1|0|1|0.0|1680.9
14|74473|44|7|620-640|59|2|0|1|0.0|12360.0
14|40200|44|7|620-640|71|1|0|1|0.0|372.0
14|40200|44|7|620-640|68|1|0|0|0.0|1460.0
14|38272|44|7|620-640|71|1|0|1|0.0|868.0
14|38272|44|7|620-640|87|1|0|0|0.0|4420.0
14|38272|44|7|620-640|17|1|0|1|0.0|6200.0
14|38272|44|7|620-640|81|1|0|1|0.0|13330.0
14|27629|44|7|620-640|32|2|0|1|0.0|14160.0
14|62733|44|7|620-640|59|2|0|1|0.0|1350.0
14|55404|899|16|640|81|1|0|1|0.0|21776.86
14|99693|899|16|640|81|1|0|1|0.0|16856.59
14|6544|899|16|640|81|1|0|1|0.0|336.57
14|93819|899|16|640|59|2|0|1|0.0|1350.0
