CAMPAÑA,ID_FINCA,ID_ZONA,ID_ESTACION,ALTITUD,VARIEDAD,MODO,TIPO,COLOR,SUPERFICIE,PRODUCCION,PRODUCCION_HISTORICA_MEDIA,temperature_mean,temperature_max,temperature_min,precip24Hour_mean,precip24Hour_sum,relativeHumidity_mean
14,200,86,12,482.5,59,1,0,1,0.37,1900.0,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,200,86,12,482.5,59,1,0,1,0.37,778.104,1900.0,26.9375,36.5,16.8,0.0,0.0,44.290625
16,200,86,12,482.5,59,1,0,1,0.37,1636.2,1339.0520000000001,16.13000115433453,41.1,-3.4,1.1002079002079002,9525.6,70.68434903047091
17,200,86,12,482.5,59,1,0,1,0.37,829.008,1438.1013333333333,16.124870882589235,39.5,-4.9,2.5008263514288993,21789.7,69.32069321703202
18,200,86,12,482.5,59,1,0,1,0.37,607.212,1285.828,15.4253377604763,39.5,-3.4,1.1328142889855737,9894.0,65.64182505152277
19,200,86,12,482.5,59,1,0,1,0.37,392.688,1150.1048,15.551708766716196,37.7,-5.7,1.5205394902274547,13303.2,64.97092239113042
20,200,86,12,482.5,59,1,0,1,0.37,545.4,1023.8686666666667,16.360485248889397,39.1,-0.9,1.5527622736074724,13631.7,67.8098758400729
14,439,468,7,605.0,52,2,0,1,1.08,2215.2,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,439,468,7,605.0,52,2,0,1,1.08,3208.4,2215.2,26.565625,36.4,16.2,0.0,0.0,44.759375
16,439,468,7,605.0,52,2,0,1,1.08,6354.4,2711.8,15.705425372272884,40.9,-4.0,1.2759066759066757,11046.8,71.1683056325023
21,439,468,7,605.0,9,2,0,0,1.08,,3926.0,15.693660041124057,40.4,-4.7,0.6753369888051176,5911.9,65.13917066483894
14,447,757,12,470.0,17,1,0,1,0.4694,1824.7,0.0,17.152758828391658,38.70546218487395,-1.097858498238005,1.217658846970329,10627.674789915965,64.24031081668085
15,447,757,12,470.0,17,2,0,1,0.4694,3242.106,1824.7,26.9375,36.5,16.8,0.0,0.0,44.290625
16,447,757,12,470.0,17,1,0,1,0.4694,864.108,2533.4030000000002,16.13000115433453,41.1,-3.4,1.1002079002079002,9525.6,70.68434903047091
16,447,757,12,470.0,17,2,0,1,0.4694,1660.176,1976.9713333333332,16.13000115433453,41.1,-3.4,1.1002079002079002,9525.6,70.68434903047091
17,447,757,12,470.0,17,2,0,1,0.4694,1336.986,1897.7725,16.124870882589235,39.5,-4.9,2.5008263514288993,21789.7,69.32069321703202
20,447,757,12,470.0,40,2,0,1,0.4694,2828.54,1785.6152000000002,16.360485248889397,39.1,-0.9,1.5527622736074724,13631.7,67.8098758400729
21,447,757,12,470.0,40,2,0,1,0.4694,,1959.436,16.0309915467215,40.9,-3.7,0.7330249029015307,6416.9,65.6128169979438
